Adj Close,High,Low,Open,Volume,Close
297.144379,299.619995,297.119995,298.440002,229200,299.049988
300.741333,303.170013,298.609985,299.549988,204400,302.670013
299.042206,306.119995,300.890015,303.940002,389800,300.959991
297.770355,300.570007,297.48999,300.0,161400,299.679993
297.203979,301.826996,299.0,300.779999,201000,299.109985
300.979797,307.916992,302.790009,304.929993,235500,302.910004
289.712067,296.890015,291.459991,296.73999,400700,291.570007
286.413208,292.350006,288.25,290.519989,233000,288.25
286.274078,289.25,285.779999,287.100006,206200,288.109985
283.919189,289.015015,285.589996,287.690002,221400,285.73999
285.777283,290.26001,285.019989,289.320007,298000,287.609985
292.563782,295.119995,289.920013,290.920013,265600,294.440002
293.656769,300.220001,293.589996,298.839996,253600,295.540009
294.700073,297.480011,295.005005,295.76001,248100,296.589996
292.673065,297.238007,293.48999,295.559998,234400,294.549988
297.680939,299.589996,294.420013,295.829987,162000,299.589996
298.038666,301.200012,297.075012,300.450012,226800,299.950012
303.453918,305.410004,297.649994,299.970001,257400,305.399994
298.595093,301.450012,297.899994,300.019989,187700,300.51001
303.265137,309.220001,304.549988,307.029999,385900,305.209991
307.845764,313.059998,307.915009,312.660004,353900,309.820007
307.100555,313.399994,307.429993,313.059998,281900,309.070007
310.031738,314.519989,311.730011,314.040009,693700,312.019989
313.032501,317.089996,311.910004,312.019989,415400,315.040009
307.597351,312.339996,307.559998,308.320007,326700,309.570007
301.556091,307.209991,303.160004,306.179993,290200,303.48999
299.469482,303.920013,300.109985,302.160004,503900,301.390015
299.777527,303.25,300.649994,301.929993,334700,301.700012
301.42691,305.940002,300.109985,300.700012,337400,303.359985
298.982605,302.640015,300.75,300.75,365300,300.899994
297.40274,301.339996,297.720001,300.0,314800,299.309998
295.216736,300.018005,296.339996,299.220001,302400,297.109985
296.339539,301.820007,297.359985,301.200012,571800,298.23999
297.482239,301.980011,298.529999,300.339996,492200,299.390015
299.717896,303.600006,300.0,300.25,562000,301.640015
303.036621,305.660004,301.679993,302.040009,543500,304.980011
321.3591,325.350006,315.540009,319.0,618900,323.420013
329.298187,332.0,328.494995,329.399994,493100,331.410004
331.374878,336.899994,331.809998,333.309998,467900,333.5
331.245697,333.440002,330.700012,332.329987,318000,333.369995
335.071167,340.309998,334.369995,338.630005,349600,337.220001
333.749664,340.019989,335.200012,338.880005,245600,335.890015
337.39624,340.003998,334.230011,336.450012,207600,339.559998
339.105286,343.850006,338.160004,338.320007,229700,341.279999
